id,geoJSON
79,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.620774882008081, 51.968850546034275], [7.622518492537018, 51.96819047141526], [7.622447113027633, 51.9677692337201], [7.621529367023884, 51.967509925809324], [7.620774882008081, 51.968850546034275]]]]}"
19,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.622103249983827, 51.965386732099546], [7.622555426339932, 51.96587754858283], [7.622762392832687, 51.9646343996964], [7.622448766997423, 51.96464276020247], [7.622103249983827, 51.965386732099546]]]]}"
2,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.621938572593127, 51.964504897243295], [7.622448766997423, 51.96464276020247], [7.622762392832687, 51.9646343996964], [7.623091224021971, 51.96446316974556], [7.623250989430185, 51.96336785649397], [7.623060844949179, 51.963021651732824], [7.623016618758317, 51.96298948711295], [7.622222510932151, 51.96292951916792], [7.621938572593127, 51.964504897243295]]]]}"
61,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.622447113027633, 51.9677692337201], [7.622518492537018, 51.96819047141526], [7.623103470048984, 51.969089760173915], [7.626110335251693, 51.96859912956507], [7.626062578037505, 51.96814083948154], [7.625800130547851, 51.96787447193024], [7.622898284680244, 51.96733452160381], [7.622447113027633, 51.9677692337201]]]]}"
101,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.622571934365647, 51.965927819812975], [7.624208112757694, 51.965593252468686], [7.624184526978739, 51.96556542638443], [7.623091224021971, 51.96446316974556], [7.622762392832687, 51.9646343996964], [7.622555426339932, 51.96587754858283], [7.622571934365647, 51.965927819812975]]]]}"
59,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.622334965226104, 51.966346134756655], [7.622626582322281, 51.96667775392759], [7.62481382270137, 51.96627843227895], [7.624576486324566, 51.96575937850176], [7.624208112757694, 51.965593252468686], [7.622571934365647, 51.965927819812975], [7.622334965226104, 51.966346134756655]]]]}"
43,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.622793122133364, 51.96064114002162], [7.623242242292788, 51.9607617247156], [7.624129421414677, 51.960700458552004], [7.62314609558515, 51.95961193776847], [7.622424822129999, 51.959481944157474], [7.622443842528122, 51.96043839528071], [7.622489024372873, 51.96048517979934], [7.622793122133364, 51.96064114002162]]]]}"
89,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.622489024372873, 51.96048517979934], [7.623134660809487, 51.96225516117549], [7.62315467719699, 51.96223284992681], [7.623589301632919, 51.96149441010518], [7.622793122133364, 51.96064114002162], [7.622489024372873, 51.96048517979934]]]]}"
90,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.623016618758317, 51.96298948711295], [7.623060844949179, 51.963021651732824], [7.623748036756616, 51.96268104672734], [7.624365541203394, 51.961555232287594], [7.62315467719699, 51.96223284992681], [7.623134660809487, 51.96225516117549], [7.623016618758317, 51.96298948711295]]]]}"
74,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.62481382270137, 51.96627843227895], [7.622626582322281, 51.96667775392759], [7.622898284680244, 51.96733452160381], [7.625800130547851, 51.96787447193024], [7.62481382270137, 51.96627843227895]]]]}"
72,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.625800130547851, 51.96787447193024], [7.626062578037505, 51.96814083948154], [7.627414733212534, 51.966318547292204], [7.627162284953621, 51.96490851825493], [7.625750154291773, 51.964545041667094], [7.625034360447216, 51.965026334975924], [7.624589423603934, 51.96572930753789], [7.624576486324566, 51.96575937850176], [7.62481382270137, 51.96627843227895], [7.625800130547851, 51.96787447193024]]]]}"
107,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.62315467719699, 51.96223284992681], [7.624365541203394, 51.961555232287594], [7.624510546227058, 51.9613917959264], [7.624218598810274, 51.96136219952288], [7.623589301632919, 51.96149441010518], [7.62315467719699, 51.96223284992681]]]]}"
20,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.623091224021971, 51.96446316974556], [7.624184526978739, 51.96556542638443], [7.623907785992893, 51.963587744092955], [7.623250989430185, 51.96336785649397], [7.623091224021971, 51.96446316974556]]]]}"
88,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.623242242292788, 51.9607617247156], [7.622793122133364, 51.96064114002162], [7.623589301632919, 51.96149441010518], [7.624218598810274, 51.96136219952288], [7.623242242292788, 51.9607617247156]]]]}"
42,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.624218598810274, 51.96136219952288], [7.624510546227058, 51.9613917959264], [7.624748922212384, 51.96131199874129], [7.62468884763976, 51.960918072319885], [7.624129421414677, 51.960700458552004], [7.623242242292788, 51.9607617247156], [7.624218598810274, 51.96136219952288]]]]}"
